raceId,driverId,total_laps,avg_lap_time,total_race_time,lap_time_std,num_pit_stops,total_pit_time,driver_name,positionOrder,grid,points,statusId,circuitId,position_tier
3,10,56,127463.58928571429,7137961,20140.167636547794,0.0,0.0,Timo Glock,7,19,2.0,1,17,1
3,12,54,131414.92592592593,7096406,20696.611283877348,0.0,0.0,Nelson Piquet Jr.,16,16,0.0,12,17,2
3,13,20,139648.2,2792964,25218.487632770713,0.0,0.0,Felipe Massa,19,13,0.0,40,17,2
3,15,18,149046.72222222222,2682841,31981.0715871041,0.0,0.0,Jarno Trulli,20,6,0.0,4,17,2
3,16,50,128637.74,6431887,20370.56606650379,0.0,0.0,Adrian Sutil,17,18,0.0,20,17,2
3,17,56,126329.55357142857,7074455,20134.52349475184,0.0,0.0,Mark Webber,2,3,8.0,1,17,0
3,18,56,126936.78571428571,7108460,20282.663319570864,0.0,0.0,Jenson Button,3,5,6.0,1,17,0
3,20,56,126133.66071428571,7063485,20264.030468050165,0.0,0.0,Sebastian Vettel,1,1,10.0,1,17,0
3,21,55,128887.56363636363,7088816,19165.208549138893,0.0,0.0,Giancarlo Fisichella,14,20,0.0,11,17,2
3,22,56,127271.23214285714,7127189,19540.34687418092,0.0,0.0,Rubens Barrichello,4,4,5.0,1,17,1
3,67,56,127498.64285714286,7139924,19546.799799854292,0.0,0.0,Sébastien Buemi,8,10,1.0,1,17,1
4,1,57,97022.42105263157,5530278,4439.437934771893,0.0,0.0,Lewis Hamilton,4,5,5.0,1,3,1
4,2,56,98797.89285714286,5532682,5108.286386499252,0.0,0.0,Nick Heidfeld,19,14,0.0,11,3,2
4,3,57,97655.78947368421,5566380,4434.211871254343,0.0,0.0,Nico Rosberg,9,9,0.0,1,3,1
4,4,57,97560.64912280702,5560957,4495.926920523366,0.0,0.0,Fernando Alonso,8,7,1.0,1,3,1
4,5,57,98000.1052631579,5586006,4739.108319852295,0.0,0.0,Heikki Kovalainen,12,11,0.0,1,3,2
4,6,48,98949.60416666667,4749581,6041.193272784044,0.0,0.0,Kazuki Nakajima,20,12,0.0,51,3,2
4,7,57,98017.31578947368,5586987,4981.729157480988,0.0,0.0,Sébastien Bourdais,13,20,0.0,1,3,2
4,8,57,97372.61403508772,5550239,4972.663233528408,0.0,0.0,Kimi Räikkönen,6,10,3.0,1,3,1
4,9,56,98693.25,5526822,5284.321293824171,0.0,0.0,Robert Kubica,18,13,0.0,11,3,2
4,10,57,97387.05263157895,5551062,4754.432118038661,0.0,0.0,Timo Glock,7,2,2.0,1,3,1
